Year,Department,Student Name,Enrollement ID,Graduation Type,Gender,Campus (On/Off),Company,Company Type,Position,CTC,Student Rejection
2017-01-01,History,ROGER ROBERTS,Student00013,UG,Male,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,Commerce,JOSE HILL,Student00020,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,English,SAJID KHAN,Student00063,UG,Male,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,English,SAKTHI CHIDAMBARAM,Student00067,UG,Male,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,History,SARMISTHA MAITI,Student00142,UG,Male,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,History,SATISH BHAKRI,Student00148,UG,Male,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,K.S. RAVIKUMAR,Student00744,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,KANGANA RANAUT,Student00779,PG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,KANJIBHAI RATHOD,Student00782,PG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Tamil,NITYASUNDARI,Student01307,UG,Male,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,Political Science,AAKSHI,Student01471,UG,Male,Yes,GWC,BPO,Process Executive,170000.0,No
2017-01-01,Political Science,AESHANA,Student01478,UG,Female,Yes,Ford,BPO,Process Executive,170000.0,No
2017-01-01,Economics,GAGANA,Student01571,UG,Female,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Philosophy,SUKESHI,Student01669,UG,Female,Yes,Infosys,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,YEKAPARNA,Student01741,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Commerce,JOE ROBINSON,Student02484,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,English,SANJAY KHANNA,Student02627,UG,Male,Yes,Cognizant,BPO,Process Executive,170000.0,No
2017-01-01,Tamil,SHAURYA SINGH,Student02761,UG,Male,Yes,Infosys,BPO,Process Executive,170000.0,No
2017-01-01,Tamil,SHEERSHAK ANAND,Student02762,UG,Male,Yes,Infosys,BPO,Process Executive,170000.0,No
2017-01-01,Tamil,SHEFALI SHAH,Student02763,UG,Male,Yes,Infosys,BPO,Process Executive,170000.0,No
2017-01-01,Political Science,V.R. SWAMY,Student03081,UG,Male,Yes,GWC,BPO,Process Executive,170000.0,No
2017-01-01,Economics,ZAMEER KAMBLE,Student03234,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Economics,PANKAJ DHEER,Student03327,PG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Economics,PANKAJ SHARMA,Student03333,PG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
