Entry Date,Stream Type,Gender,Nationality,Department,Student Name,Caste,Enrollment Id,Graduation Type,Year Of Study,Hostel,Discontinued,Moved Between Department,Is Retained,Has Graduated,CGPA,Has Arrears,State,Rca For Discontinued,Discontinued Flag,Retained Flag,Moved Between Department Flag
2017-01-01,SFS,Male,Indian,Tamil,SHARAD RAJ,BC,Student02739,UG,Final Year,Day Scholar,,,,Yes,3.4,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARADSINGH THAKUR,BC,Student02740,UG,Final Year,Day Scholar,,,,Yes,3.7,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARAN SHARMA,OBC,Student02741,UG,Final Year,Day Scholar,,,,Yes,7.2,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARAT KATARIYA,OBC,Student02742,UG,Final Year,Day Scholar,,,,Yes,5.5,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARAT SAXENA,SC,Student02743,UG,Final Year,Day Scholar,,,,Yes,9.6,,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARIQUE MINHAJ,BC,Student02744,UG,Final Year,Day Scholar,,,,Yes,6.6,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARMAN JOSHI,ST,Student02745,UG,Final Year,Hostel,,,,,3.4,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHARMILA SANKAR,BC,Student02746,UG,Final Year,Day Scholar,,,,Yes,8.4,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHASHANK KHAITAN,BC,Student02747,UG,Final Year,Day Scholar,,,,Yes,5.1,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHASHANK UDAPURKAR,BC,Student02748,UG,Final Year,Day Scholar,,,,Yes,9.4,,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHASHANT SHAH,BC,Student02749,UG,Final Year,Day Scholar,,,,,7.6,Yes,Tamil Nadu,,0,0,0
2017-01-01,SFS,Male,Indian,Tamil,SHASHI BAKSHI,OBC,Student02750,UG,Final Year,Day Scholar,,,,Yes,8.4,Yes,Tamil Nadu,,0,0,0
